region_id,region_name,state_name,2020,2021,2022,2023,2024
394913,"New York, NY",NY,2207.307633579779,2341.859790216482,3237.8912298300165,3981.9732768512235,4216.775535292391
753899,"Los Angeles, CA",CA,2926.468495834386,3224.7470568292606,4670.881705936082,5624.305417728763,5952.207672162772
394463,"Chicago, IL",IL,1042.008045912058,1116.9615937060905,1551.7256636430418,1920.9466094059599,2022.1820121715589
394514,"Dallas, TX",TX,1136.5344791924044,1268.2028990909278,1963.408317601302,2389.3189580472535,2383.539759369513
394692,"Houston, TX",TX,987.3593882539553,1076.431984250033,1608.763631625584,1966.5783968679905,1967.5670768121029
395209,"Washington, DC",VA,1926.7692756769836,2080.2966871218987,2851.340712409903,3465.20368206346,3578.2353729497113
394974,"Philadelphia, PA",PA,1112.0560856111413,1218.746509791414,1707.5949015791384,2158.9937204441417,2273.547932550377
394856,"Miami, FL",FL,1328.2157729816727,1457.6381537198952,2275.5103564974493,2978.7556502602274,3111.972479275475
394347,"Atlanta, GA",GA,1091.779415906755,1239.1712424068692,1920.514078222134,2379.49498432878,2431.191766060167
394404,"Boston, MA",MA,2158.5020389547003,2358.0921361020187,3286.8228620551677,4082.984877180372,4340.252361154905
394976,"Phoenix, AZ",AZ,1342.1300230673967,1596.947231431924,2490.977157519315,2864.4765792895982,2909.374819400169
395057,"San Francisco, CA",CA,4070.7302480432786,4458.779672770737,6302.0063819637735,7056.985815651989,7216.104411437841
395025,"Riverside, CA",CA,1699.3460736667573,1953.8229158669,2942.05852745648,3548.4127091497526,3695.1755101341696
394532,"Detroit, MI",MI,786.7109832961779,868.6811648734771,1211.244123151903,1492.911255494373,1560.8337280369976
395078,"Seattle, WA",WA,2280.9636699071557,2601.2566828195904,3821.0450058656425,4427.888583669943,4603.165841975949
394865,"Minneapolis, MN",MN,1281.3904648440646,1389.6913089091213,1918.1813851962058,2307.0961609174933,2319.3062967303595
395056,"San Diego, CA",CA,2682.5949979702673,3041.8107356592573,4554.710442250782,5528.316588207274,5937.181556976905
395148,"Tampa, FL",FL,1037.8932347687721,1188.0731913827653,1914.9944413140981,2384.7076163185575,2403.9393020898156
394530,"Denver, CO",CO,1917.1247023099831,2138.669273060306,3130.6875162784363,3684.454654617512,3703.640780183358
394358,"Baltimore, MD",MD,1301.7412951722174,1400.0061877992075,1917.8970608379193,2373.119681827502,2436.472107827609
395121,"St. Louis, MO",MO,793.0388317047385,863.9314303168908,1208.2276509191975,1517.8543094102224,1574.249287546518
394943,"Orlando, FL",FL,1132.8518683669422,1244.607049331125,1958.3426654666564,2477.4510765809337,2518.403526553824
394458,"Charlotte, NC",NC,1073.729557418654,1233.525398087055,1904.714526268149,2347.6270811177924,2413.2826581370623
395055,"San Antonio, TX",TX,944.8274184535966,1042.5690549497194,1555.7572609305423,1880.2780560986496,1820.438429112899
394998,"Portland, OR",OR,1830.062560424497,2043.5275441740732,2911.697175590453,3421.227436502341,3444.943131135768
395045,"Sacramento, CA",CA,1913.2389036360892,2173.98050959905,3139.554427155927,3595.511741425437,3664.7579566960035
394982,"Pittsburgh, PA",PA,718.1102873935242,788.255904288963,1064.9995223600024,1292.8077482441151,1339.4724730296255
394466,"Cincinnati, OH",OH,861.1198746683322,958.6493827432404,1354.8160190887656,1707.2724288487054,1778.963105005205
394355,"Austin, TX",TX,1441.1837421640573,1794.4951877485803,2785.7689832119445,3053.7338159409014,2890.926473429101
394775,"Las Vegas, NV",NV,1288.6559234473714,1428.3091384708703,2228.4561973634127,2587.0044003651774,2697.836521440141
394735,"Kansas City, MO",MO,917.5708837682441,1020.1331308722306,1451.6874210445183,1827.8259842042928,1886.8529223543862
394492,"Columbus, OH",OH,937.0398559399849,1042.98609962748,1498.4797515208536,1889.0311650922415,1967.5135468407914
394705,"Indianapolis, IN",IN,817.517449433415,923.051882831971,1364.9735880903513,1695.8582044568368,1732.346918911204
394475,"Cleveland, OH",OH,682.3096931315846,753.858805348812,1054.8270460897063,1330.9078420952087,1411.142259258024
395059,"San Jose, CA",CA,4931.690689041319,5422.888349380038,7927.11480419429,9130.842969738322,9903.66760483949
394902,"Nashville, TN",TN,1325.1550226479974,1473.861073231027,2302.9982553157174,2797.040832652759,2819.653745200643
395194,"Virginia Beach, VA",VA,1092.9187696260472,1187.8852596715633,1663.7231821746254,2105.2107794639974,2198.2543591054286
395005,"Providence, RI",RI,1380.9604626501089,1549.9879428882878,2202.213391665892,2782.9939841831947,2975.41811351738
394714,"Jacksonville, FL",FL,1034.840756848724,1162.032205264989,1839.258576241123,2266.2074954077084,2260.9024033754345
394862,"Milwaukee, WI",WI,1075.6127195454703,1161.0269497145398,1586.2177376267375,2041.4223959962353,2153.9642748351293
394935,"Oklahoma City, OK",OK,715.5725299039385,775.6197892513463,1127.7996995692486,1436.6840939216552,1463.0588963670455
395012,"Raleigh, NC",NC,1281.4392592992601,1437.5805365193103,2276.972712810764,2767.3958068184984,2805.163673910481
394849,"Memphis, TN",TN,727.0001749860224,816.2331838997824,1214.2194081593489,1493.3566575301513,1496.394864146567
395022,"Richmond, VA",VA,1120.6198545510124,1233.1524549666285,1762.4211503286754,2244.5957241787523,2334.198192483646
394807,"Louisville, KY",KY,829.076302902537,899.8512917215335,1252.3047501113847,1563.7451998655513,1611.549108487234
394910,"New Orleans, LA",LA,1008.7735021770782,1059.5340253869692,1439.136437502562,1624.4808942517527,1520.021757100737
395053,"Salt Lake City, UT",UT,1662.6307311875082,1950.8978390331247,2901.4033255724335,3396.77572789958,3432.342001163653
