region_id,region_name,state_name,2020,2021,2022,2023,2024
394913,"New York, NY",NY,2489.91421053984,2348.167681941901,2826.477706739397,2991.2302457991323,3106.6949200116765
753899,"Los Angeles, CA",CA,2193.3536360818516,2219.648664414378,2569.0022198643533,2633.1030241252147,2681.503978397455
394463,"Chicago, IL",IL,1574.472608162663,1574.9671206516575,1736.3596782437137,1844.5127820645748,1932.821984580328
394514,"Dallas, TX",TX,1272.0875563038644,1333.7371819883435,1560.061600585734,1582.106144193766,1557.819061667259
394692,"Houston, TX",TX,1250.6990372405785,1274.845822982122,1416.9265617353576,1453.698619315234,1460.91232231382
395209,"Washington, DC",VA,1919.5628186874285,1874.1578968320628,2091.546539937308,2165.9564824488325,2254.662316739775
394974,"Philadelphia, PA",PA,1461.0462923156947,1511.6126304641557,1672.34642037613,1720.514573060677,1769.5680147937758
394856,"Miami, FL",FL,1662.41143607182,1818.4025232591089,2332.8967947653528,2418.233941138179,2472.692490154961
394347,"Atlanta, GA",GA,1351.0561461011123,1475.6726408846496,1723.6955447045991,1737.2102653734105,1703.3318495307728
394404,"Boston, MA",MA,2465.587211709995,2403.774941958623,2689.709400071916,2896.603113423108,3037.009649289668
394976,"Phoenix, AZ",AZ,1191.842482314432,1351.887231849114,1611.6949604662557,1581.002471240316,1577.0966567977332
395057,"San Francisco, CA",CA,2715.037398641637,2498.840855025345,2734.5546437287744,2752.8861700918737,2756.1859672894434
395025,"Riverside, CA",CA,1624.7977146936587,1920.0208205955123,2217.4416032983004,2250.765901062932,2284.225264915582
394532,"Detroit, MI",MI,1037.2858381235562,1134.6766151850904,1249.156572091352,1273.3147518242206,1329.7385566769467
395078,"Seattle, WA",WA,1787.9694708367097,1754.6430718833703,2012.326199571915,2036.084015351848,2097.2987635934496
394865,"Minneapolis, MN",MN,1396.8327750003389,1402.9111671488758,1479.1115254888298,1507.3341939958575,1542.3710349972755
395056,"San Diego, CA",CA,1991.8379701036672,2142.254877231482,2567.8224294945317,2717.7793182585447,2736.695915574144
395148,"Tampa, FL",FL,1254.3704365649564,1406.8703566064823,1772.4344815554157,1803.671319938328,1803.012775353684
394530,"Denver, CO",CO,1525.2792964303426,1582.0117291240704,1811.564803993474,1856.4884445207256,1882.3421184888912
394358,"Baltimore, MD",MD,1400.9638327208995,1491.3310832775576,1650.957063301145,1688.3072287483892,1724.4112524002226
395121,"St. Louis, MO",MO,972.9048895862852,1023.2236860008688,1131.8720807440816,1198.9211898224223,1234.5782829228226
394943,"Orlando, FL",FL,1363.8132415077855,1445.9379058292634,1817.424878717717,1858.0609083896568,1835.1654690301257
394458,"Charlotte, NC",NC,1241.3955444275537,1318.9862784852444,1563.229849254311,1610.846270783726,1588.4532369095214
395055,"San Antonio, TX",TX,1112.7565376763034,1162.1886898586977,1323.8667522610483,1335.8300874183135,1312.438072271981
394998,"Portland, OR",OR,1405.4286196484466,1467.2345562791115,1639.5650460366658,1684.1488639264471,1698.002884012711
395045,"Sacramento, CA",CA,1549.3679348233254,1722.356777022071,1909.399224981375,1925.5437182864716,1977.610519790638
394982,"Pittsburgh, PA",PA,1112.070149478519,1144.1443609816713,1235.505716353384,1293.1937158946134,1333.3433326807158
394466,"Cincinnati, OH",OH,1015.9144323448882,1066.49891245163,1192.5806958423675,1277.3684846452204,1332.2644265161643
394355,"Austin, TX",TX,1330.984490423515,1402.2578075918996,1671.8953605931652,1662.461633299278,1582.2970748563862
394775,"Las Vegas, NV",NV,1137.2525548471856,1298.8531788845175,1565.078630512111,1516.4594578701303,1538.3508990498503
394735,"Kansas City, MO",MO,1034.7865085610767,1088.7461265724544,1204.014085421182,1272.2963203559218,1328.9716126412252
394492,"Columbus, OH",OH,1025.0714094143111,1080.336257117964,1194.1353329685296,1258.9219801696586,1293.5248196170814
394705,"Indianapolis, IN",IN,1003.2105740511104,1062.062736766998,1225.974315733667,1285.8269829852818,1314.1575655624226
394475,"Cleveland, OH",OH,907.3821246384604,960.519044474216,1058.7328083832838,1100.3539997314406,1161.8736543945315
395059,"San Jose, CA",CA,2839.03871389377,2596.621970456254,2938.6401338143696,3002.5082194155716,3056.132130031209
394902,"Nashville, TN",TN,1371.669644832506,1415.8004780387064,1684.8962964045054,1701.322107061558,1686.1733751894578
395194,"Virginia Beach, VA",VA,1108.411438758798,1257.3722922593977,1401.1202044422485,1465.4209604939554,1529.003114989636
395005,"Providence, RI",RI,1312.3147097201831,1458.7337355407788,1647.6982690559516,1766.311568135177,1902.58111322976
394714,"Jacksonville, FL",FL,1159.4509033755744,1281.2567946053082,1531.0721480589843,1547.5166619400047,1522.4460019020355
394862,"Milwaukee, WI",WI,1042.160578216968,1082.7500552200113,1169.2698837342416,1238.1774113469307,1299.197358811199
394935,"Oklahoma City, OK",OK,888.2453817088193,940.2472225390992,1073.3541569040526,1078.8803934974003,1090.8952875508326
395012,"Raleigh, NC",NC,1196.779055520995,1279.8605906378225,1533.1108797919826,1566.446992353054,1529.9320346712843
394849,"Memphis, TN",TN,953.2391846073627,1062.6097688872535,1176.9996253897657,1192.1817769552738,1221.5955031005435
395022,"Richmond, VA",VA,1188.5540661859814,1278.8074507220133,1440.4627104327903,1482.7086206238769,1535.8040933830086
394807,"Louisville, KY",KY,983.0897582507026,1013.4968023484688,1135.024689248107,1202.0945068597568,1272.2380485094395
394910,"New Orleans, LA",LA,1162.8708429095882,1212.0936105488988,1383.4985474750208,1393.9298691760798,1437.110374361583
395053,"Salt Lake City, UT",UT,1195.3142534179017,1301.142948662965,1534.0529024940424,1546.4346905503485,1563.6921595040842
