state_name,2020_rent,2021_rent,2022_rent,2023_rent,2024_rent,2020_mortgage,2021_mortgage,2022_mortgage,2023_mortgage,2024_mortgage
AK,1137.0188514406057,1189.7902745287572,1313.572803169002,1422.5389835359401,1485.714066450494,1288.167238486244,1297.7040923028503,1755.4332342357143,2126.2518904900357,2151.8780095845464
AL,977.4585118807638,1070.506894423067,1179.1121141448848,1226.3676005956975,1243.9016092834922,733.1807428781849,803.9166053265291,1154.7126171225063,1435.102835333467,1458.8194075921554
AR,861.316050391589,928.0892752962809,1031.6546647244509,1111.1315276370499,1150.0329945084911,650.5584825130394,718.3253909024079,1050.653790663089,1315.2548278962834,1346.0049636278488
AZ,1063.7786817879448,1217.8475651999684,1379.2592444174325,1423.6452281414004,1440.5297027580673,1127.2553794162181,1314.1935353612657,2005.4904066566544,2396.025333535432,2448.4946861755357
CA,1776.184692733847,1897.171005768494,2095.3222346844495,2176.1325010289793,2238.565729246731,2148.2946442691355,2398.4680128939667,3474.7486778865723,4116.118141797967,4268.695454703755
CO,1370.6292330241467,1464.131497271577,1602.5785912177867,1679.1577353620135,1711.2845343782715,1634.8210226380213,1819.9953752783615,2671.7083429122017,3173.8607980595366,3181.498115932695
CT,1384.405898162438,1499.9996989729082,1646.381291621102,1783.784002133345,1922.1623093816802,1230.9397818102393,1373.5295184374077,1945.3508372365172,2513.0234133489184,2724.7025596475805
DE,1273.300553223871,1419.739375319795,1563.4341660719965,1623.6449176008773,1661.2619281930274,1132.9563110612507,1280.2877960758437,1866.5914322208246,2346.6273278109807,2407.161701353214
FL,1236.3094131057878,1406.71425111192,1659.2127099865156,1731.5365258074098,1736.7011005285178,1036.1192885244566,1166.801717100367,1868.1212028446985,2345.9588463992013,2339.0076142638836
GA,1025.468620990275,1140.1520878081237,1279.919906375262,1348.7115426824714,1381.2911171961462,742.1711058536704,824.8380935518016,1236.8701712965387,1576.3257213991458,1644.050173599266
HI,2010.135220077228,2129.0617635543604,2253.810723870298,2334.5537592551104,2421.5110773367596,2951.6088508532002,3204.0722637850813,4872.954128632051,5949.990739129674,6056.793860739331
IA,838.4725148759921,862.2788802955125,906.3465311850596,956.8912368202576,986.3691132865644,783.9923082622283,821.5267050052837,1151.2760350788622,1447.3421265550455,1482.1624947184173
ID,902.3854036197334,1067.6858516668192,1196.931797390766,1213.1381087063094,1235.2787074884993,1190.0833507875027,1477.7806025601342,2190.0893729058016,2569.119540916215,2592.0458791648107
IL,819.508381864591,851.2091553991115,931.3308397660586,1007.0354024802258,1073.7376123205984,594.3317683489021,625.9079708724607,866.6993657021144,1082.886462582143,1135.8332506226154
IN,817.004217134339,879.1235081699682,980.0673488891782,1047.133743118534,1098.045808738644,666.582808154501,736.4514844097918,1056.7845870165318,1335.9242026107684,1395.2524091393732
KS,787.2609976855465,811.7330806891781,866.043505665651,931.1699846698049,990.9579269455002,738.4068200176449,796.9156797853263,1128.3338033317868,1434.8368952796877,1494.7423533792366
KY,928.3361317777653,983.8592558668632,1086.986027166513,1167.3571827694514,1226.7097928383403,699.4063745069911,761.0624425029882,1082.20944852834,1376.5768154572327,1424.5620513420934
LA,974.1943853417254,1064.8181824383812,1121.602408160881,1143.6616792318305,1182.4197846194313,787.2094098622484,793.285609367927,1057.2488532039179,1235.7566723745256,1206.0376139690786
MA,1658.1308455182173,1730.7048455752113,1913.1431471904634,2090.426141366492,2209.904476708168,1486.9515917651534,1675.671135054598,2408.734576566549,3051.091422988665,3228.3857068520074
MD,1213.5823697771762,1314.4007951376432,1406.8674396136248,1482.1766139867484,1558.9578181491725,1028.429599383428,1121.3862074097817,1552.5733241959388,1915.4281236681893,1969.626751528082
ME,1112.7573724859956,1227.4564630033838,1364.7078906157258,1487.7528370418806,1575.5847467090261,985.0981538917316,1141.1807488152253,1670.3095424135997,2154.6893841481256,2271.6643864851644
MI,1007.7161019207036,1080.0046257516628,1186.2879456882486,1241.9949507110384,1303.8550962980592,746.9404253353282,827.076929834799,1164.992298140102,1453.2598758804513,1518.74540318191
MN,1048.2050855974308,1076.1076048105147,1152.0333654018136,1204.684649685574,1241.4242894192425,968.9864716841524,1042.3829771387757,1459.7220325611077,1794.4129727235886,1829.5669932319508
MO,831.9256872573847,884.6114833079432,975.2649750500997,1049.188633320798,1103.2332837598778,743.9335592193693,819.670378073226,1179.610721294111,1477.52496246613,1525.8043568905996
MS,1033.7457415226463,1106.5332317048533,1209.2890686044047,1249.876050615798,1305.3243070445744,658.295815708641,706.9815092389196,999.6795215787406,1230.1562420797284,1249.7098738076104
MT,1079.749267714232,1233.9070557318032,1407.9334303526714,1476.1821763283558,1507.8537094439355,1350.5698670328316,1581.8580860476202,2374.110867966564,2913.3326223606227,3029.519433013169
NC,1025.0081791855312,1120.3030860135832,1293.5878900850294,1358.9221450324894,1383.3198381190853,870.6692011671503,976.1482052335213,1469.80488796382,1874.3518608464158,1940.8959798067017
ND,784.8850911510224,822.3325820386441,872.9832899724896,998.0787618266585,1110.9943841398338,1013.9612097679443,1043.7153418039352,1436.1613474902827,1802.886107846209,1830.352552987237
NE,907.5221920325796,950.3087986138305,1029.9589982381783,1117.9709703369645,1164.2829159846858,840.2987286637027,918.8963430789628,1306.104089313558,1642.0443585060193,1687.4632756535586
NH,1242.0897026952066,1361.7707877384832,1529.2244205416182,1668.3310600236405,1746.710170951415,1339.36263388077,1515.5231378688104,2180.2070457338846,2818.401951119012,3016.0835112222794
NJ,1433.4107813789265,1579.8710482297897,1804.567536208097,1945.8715544360393,2025.6899098861572,1201.405545772993,1369.8497858415149,2021.790503980639,2593.3399807606343,2751.8897167704613
NM,1177.6478232175969,1284.288901335051,1457.0495712223874,1583.13615927427,1618.9512315705058,1061.9431375470497,1168.3084378022477,1695.8321763654776,2138.4899851604832,2205.9229136876547
