RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
102001,0,United States,country,,1184.433765159107,1192.0668567353612,1203.3277951129135,1211.9051756444853,1221.8843422393084,1229.4786584583246,1236.3038482591253,1240.4385199366773,1243.1005842282802,1243.3931613716634,1242.532790469125,1241.1961951173128,1243.7841236212469,1249.186832117804,1256.2883675129708,1265.0525491280753,1274.4601910449192,1283.6714795308164,1288.9454253601477,1291.6443626127302,1292.491646325498,1290.3807723334646,1287.8220390944057,1285.0543914708478,1288.1616810542548,1294.4456891140508,1304.6546988716354,1313.5857976253433,1322.7481299660012,1329.9728322282845,1334.4885283988551,1335.1164746548557,1333.2570689243628,1330.0531174067605,1328.2043663152187,1328.583977066223,1332.192771556446,1339.13342367291,1347.895691580271,1357.588321556404,1365.8400570921103,1374.2355486711003,1380.53086310496,1384.5280117132493,1383.0728906146614,1380.3478339947678,1378.6734644084083,1378.7464023558841,1382.5338354983933,1388.0234809792958,1397.855831422558,1406.796429715845,1416.4382706581562,1425.2991488907558,1432.4324652372775,1435.853604365459,1434.757001634669,1431.1242137162772,1427.7184195214816,1427.4906295577227,1431.4380810661603,1439.0218548307244,1444.0269075551175,1439.4579420439552,1431.6749713139448,1426.6593840297876,1427.6808212980106,1424.2382019837544,1415.760353958505,1406.4677650124654,1399.3043479228909,1398.4050037722918,1405.2741820988183,1417.1817857289902,1432.4226866822407,1451.555728333074,1478.2249275542952,1509.8331511871106,1543.2557841654911,1573.7926053600195,1597.899315121989,1611.024053552991,1618.2338561673944,1625.208689971625,1633.857967030409,1646.0723065369223,1659.5225119625263,1678.8345546123853,1701.8870298725635,1726.0155835952926,1746.4013399490336,1755.4799617638523,1755.6863780598378,1746.3557530978276,1736.9332092853967,1730.2551564586413,1730.924571599638,1736.9359800058062,1749.1477931114532,1759.1801808466905,1771.1654769657146,1778.703434067908,1787.1379814385853,1790.0676006771464,1788.4230968593677,1784.355693933254,1777.8072797446275,1773.3589226163217,1773.1336362330678,1780.3616099051533,1791.0768413511685,1803.8021563306252,1816.151336320253,1826.9096889671614,1833.5148929351903,1834.5366313454617,1832.8546601600788,1826.68655348278,1821.4627968207267,1816.2702637978057,1820.1300453505257
394913,1,"New York, NY",msa,NY,2209.9591158453713,2222.416105480161,2240.1397696142853,2261.896028839419,2281.226010247373,2298.661148639779,2309.572142507146,2318.9755238071716,2322.8711934856005,2321.1629414916542,2310.563560181829,2299.453997445694,2293.548950214573,2296.938246089584,2305.343062254334,2318.4310617016004,2333.5087402781523,2348.4127940752383,2362.4612286694437,2369.1155541228045,2370.825646479708,2362.5438894534573,2353.8163467744057,2339.93395698285,2333.1035274570377,2331.571846455144,2341.6808436902006,2356.410019563988,2374.994441583982,2391.949820718066,2403.7827497264675,2407.553620512764,2400.7925537959127,2384.6264106732306,2367.4582343347556,2355.91796900179,2353.2330375991846,2359.483045286169,2372.220606436878,2393.235374456957,2411.893714015313,2430.5127003668194,2443.295396483347,2452.89682414226,2453.41455324531,2443.20169864259,2431.0208337992635,2419.5362771772357,2419.4301108266586,2427.542119858171,2441.4008362350687,2459.868928554456,2480.683959106903,2504.2246090189965,2521.4337107772994,2531.358398362442,2532.613754377759,2524.7599552909674,2512.1818221003277,2500.3053347611135,2500.114141603933,2511.456940670166,2520.427457382891,2510.2972370433336,2489.91421053984,2463.5796067885453,2436.8318649879675,,,2286.0848884841225,2250.832402365901,2236.47762884019,2234.815007401443,2251.308062950129,2273.3854708164727,2303.779060461349,2348.167681941901,2403.446398071516,2466.782135698008,2526.6221840736166,2574.825159226288,2605.731257023427,2627.4870493871367,2645.3403713252173,2668.659653241253,2696.976472074712,2733.832012877524,2773.808438643002,2826.477706739397,2881.6985515281553,2932.2131981201396,2959.5952641368785,2962.7940720299475,2944.6686093016183,2916.064700420899,2893.496874329601,2889.9317487712865,2900.8683087875215,2925.3935045816042,2955.0671239243898,2991.2302457991323,3024.290268062862,3049.001998085168,3059.375167655868,3058.5836378177805,3043.95710703866,3019.1872165728214,2998.6776043908467,2997.4369570121557,3014.81045745047,3043.827282869471,3074.089411286097,3106.6949200116765,3136.311431006951,3153.2725017257303,3158.023256346079,3148.369174792106,3132.3317184087787,3118.376827678117,3107.349791840379,3115.851928931408
753899,2,"Los Angeles, CA",msa,CA,1684.2376694074883,1698.8792456914475,1717.1641282606413,1735.0134680812625,1745.047564065124,1755.0112456215318,1766.8130904969582,1781.3448630472903,1796.1546410460767,1804.3388333769922,1816.1819167994443,1824.2523100394144,1833.8344248563035,1844.7900336096225,1856.154801866159,1866.3851695837743,1874.5525200948725,1884.9245116493253,1900.4562900854264,1909.7116668017568,1919.1829147414019,1925.723019530042,1935.901710223762,1945.5489659048212,1958.5286529351276,1972.4719105990118,1990.32373540262,2002.996298044698,2013.9684020137986,2023.2053820014928,2034.2562939637269,2042.3118206882036,2047.6216906886518,2048.8262943721993,2051.7138245708084,2055.8177079150473,2065.7439033140254,2077.308546821951,2086.7759213945883,2094.8179799528034,2101.0486751579724,2113.637243394334,2126.095998387943,2140.6487375182624,2145.5900087045193,2148.218235198156,2146.7817786088362,2149.580123154706,2152.6871746500246,2158.0057654899138,2168.3513551681954,2178.623910465934,2187.713424104898,2197.4992510860834,2204.9179534036934,2215.7349417665073,2220.7955544607676,2223.751947554931,2223.5161111320317,2223.724063041962,2227.7084344894006,2229.4078389364745,2225.8502122148634,2210.4566317151525,2193.3536360818516,2180.973365944092,2175.632307418989,2172.452143157332,2168.4356169072207,2167.000739367713,2163.9879829800348,2162.471481424287,2168.6235136741084,2178.314406818221,2189.9520722938637,2200.9086287788327,2219.648664414378,2255.860425301941,2304.4400566509116,2361.101580093423,2404.706047466227,2430.8050275735545,2443.303603733264,2457.4409806808344,2474.1680377690404,2496.8948693696834,2517.902946213676,2544.658907592871,2569.0022198643533,2593.2361241977073,2613.9925359554036,2630.440084792286,2636.1526248054247,2628.0727144674197,2615.683890734786,2604.1951677310676,2601.3385273797294,2606.0891156638845,2618.0964838400296,2626.747257043024,2633.1030241252147,2637.7958493088518,2648.1584438827404,2657.454820454997,2661.030333112846,2659.6450973057426,2645.8061040819885,2635.486547535839,2633.843926990915,2644.1502467901273,2659.5911755926218,2668.805217863344,2681.503978397455,2691.546571802617,2702.542450779723,2705.972680236409,2710.189166080915,2708.637594785483,2705.873496678875,2696.92620819967,2704.199782674614
394463,3,"Chicago, IL",msa,IL,1366.4418786077767,1374.35852919296,1383.2945465808925,1389.9686737026375,1400.1224310410166,1411.6915309384513,1417.138999371594,1421.04091256721,1415.1699799541948,1409.5519296061502,1401.8430117219486,1401.2875452481483,1411.77222431419,1421.9305674809614,1435.0021639172212,1440.2602114419701,1448.6958014823797,1457.3925762857202,1463.7596713905402,1467.9830829656642,1459.9497376271838,1450.9204315121026,1437.3712018147955,1432.458443901238,1436.1728899134785,1452.319461711562,1470.7380329403184,1484.625030220888,1494.6227096419882,1500.4223865828467,1501.9122470196737,1495.7829286656063,1488.0410472277347,1476.6760107374826,1469.5045413518465,1467.4392391152585,1475.8838718756222,1487.4262448235077,1500.522744426992,1510.5332030636303,1521.5034899936354,1530.5024261966691,1535.495113276212,1532.7417180521018,1520.094824586914,1506.8757627453463,1498.4585825659328,1502.5886769783572,1512.4153032074241,1523.7059676187512,1537.5371140632853,1550.2667428283733,1562.680424862708,1568.7524922160228,1571.897534605821,1570.479384302101,1565.179914676419,1557.141012561165,1549.8457283214393,1544.6004543247498,1553.4749477744174,1565.3396776241204,1579.5606606596116,1578.4358881235248,1574.472608162663,1568.5113982711046,1565.7506762039607,1557.2467294320068,1540.7296477159157,1515.402931743084,1495.1587610890126,1485.6807575624252,1488.8297268783099,1501.1751768749396,1519.5019654161986,1547.0797402022301,1574.9671206516575,1600.999434682703,1619.4553275296075,1631.2422189609777,1636.2866004678706,1633.7483931271204,1632.4406411807877,1636.6167894848304,1650.0499622572197,1665.323406743956,1685.5288725629664,1709.3493884219104,1736.3596782437135,1757.2427585538994,1773.5559815076713,1779.744482744876,1778.764493305779,1772.4752034990195,1765.380762923128,1764.4351416980762,1770.5075603752973,1785.803969100537,1804.71320389868,1823.9396730583755,1844.5127820645748,1862.9790562606502,1874.1781061225142,1879.0009030610227,1873.0360453652593,1862.6052575563526,1851.0168295697038,1851.0522283913494,1858.9073224939632,1875.3690967297405,1891.6028920121503,1914.0078943259834,1932.8219845803278,1950.596260887077,1957.437814985934,1957.3535474278985,1951.9245881620475,1947.9783513209493,1948.5819534452787,1950.678996278782,1957.9749841570285
394514,4,"Dallas, TX",msa,TX,1024.6388918875896,1021.8520279826056,1025.9551668759,1039.6591927317315,1049.980667824584,1062.3787894627553,1069.7963470172826,1074.7925025109557,1077.5853761342398,1080.3726636571125,1086.634046552118,1094.8267981158226,1090.6233665264974,1089.705983174549,1092.594058332882,1112.9538147072928,1124.1030265162278,1136.1328904739069,1137.7918458672773,1145.129604166088,1149.3342344781845,1158.3787812601456,1164.5271400480485,1165.7818889348775,1165.1901025212035,1163.8778052478326,1177.1656740610792,1185.3848406591435,1201.506097400034,1206.4880772706401,1211.837431859998,1211.1996131698452,1207.4554553350208,1200.9122853648403,1203.0952955176028,1200.587674732219,1207.2953389982415,1210.8596764527485,1219.0576937670428,1223.3552046418174,1227.1653005695234,1236.1521049111427,1243.7570909001897,1245.2724515203583,1238.1736389814553,1239.0854334926253,1239.9443322225345,1242.9149198105347,1241.9621060656086,1244.1289841630967,1255.5603994990954,1263.8196336165568,1271.458361747372,1279.4890899567456,1284.6549651444552,1287.3040193632198,1284.5480264366427,1280.391844893123,1275.0741080558455,1268.3247817050174,1269.2902766920338,1274.539442455284,1280.8559003693153,1278.1071805733775,1272.0875563038644,1268.3670501432978,1269.1554783999436,1270.7196160114042,1270.782308631101,1270.0756257364546,1267.693683870341,1268.2353460285647,1272.9505924388827,1283.1282343794667,1293.3533730152099,1310.8298905129957,1333.7371819883435,1366.4985646641867,1401.0489536215382,1433.4409046158887,1457.0422883599047,1469.350556701088,1480.3237866741185,1489.131569174661,1500.1652235795843,1509.948190608162,1520.6131754030982,1538.070181407262,1560.0616005857341,1589.4021366904597,1611.3439636252242,1618.4029726952767,1612.210683609524,1593.67661169497,1579.5489401681727,1566.4747107390704,1565.4410496861135,1566.7601802190345,1576.122272939202,1577.480623826575,1582.106144193766,1582.784861214801,1588.6449599130997,1587.7908750288957,1581.737355145259,1574.0193545994764,1565.4038159419235,1556.1872890831999,1550.7197763631261,1547.058387386937,1549.371526904469,1551.5182128274512,1557.8190616672587,1561.7246414506412,1564.9833680806119,1565.1326714731654,1560.363147749162,1553.860463504984,1547.1169488460469,1542.3637066743604,1539.812344150736
394692,5,"Houston, TX",msa,TX,1138.420831343319,1144.3440979696502,1145.9061035298414,1154.8412048512898,1165.116793447538,1174.7591564539541,1182.3835108470896,1187.87924203699,1198.2677391658995,1192.0685444742805,1188.942935021722,1182.6338871911878,1180.0631350791932,1183.7245218579324,1198.0794719107607,1216.4333306441188,1223.9835109891196,1218.847326615649,1216.3592317706532,1207.8889663650368,1206.628411765777,1205.1099389592887,1201.4481616712098,1198.8394759199523,1192.484715348869,1201.805178618974,1205.7693714716318,1203.218151404304,1210.5012632392804,1205.1362828167662,1204.1096557880007,1190.7559526599684,1199.2665840592301,1212.8747026691653,1235.537292231905,1250.3103740856145,1251.7948755169084,1252.9295308968808,1249.348580373961,1258.718669469471,1257.8273693672274,1259.7645212338964,1258.142515947675,1255.6772906131641,1251.288924269102,1253.216714200491,1256.253432134373,1255.2423380103521,1251.0628413406127,1246.1965215658502,1251.2283262573885,1252.762084486683,1259.7137684568368,1265.152164680442,1270.0022616057379,1269.805292609104,1264.431627760754,1262.8662085374488,1261.6562288934115,1265.4061729131984,1265.7059925177718,1271.5858331503878,1273.5071955180501,1266.823303042093,1250.6990372405783,1239.4531514634575,1238.2604883316944,1240.9085582451282,1238.1776312475874,1238.3015552534334,1238.9041502580967,1236.6258782448442,1235.63748672299,1234.3424396803834,1242.9317793011762,1255.273873441974,1274.845822982122,1301.3830662104006,1327.1484994895077,1350.6955789332453,1363.6009956345806,1368.3878788190113,1370.5821337996188,1371.7904309637279,1376.9591858179997,1385.0935294114745,1394.9774807081658,1405.9687919070095,1416.9265617353576,1430.4471209039257,1441.4440284541708,1445.8276437546433,1442.1721724061867,1433.7977481719001,1424.6771912999027,1421.1320477929105,1425.0852849227444,1432.638651827545,1442.7291776790214,1446.225571765706,1453.698619315234,1458.0686377389854,1460.8829874941778,1459.2916838848273,1452.3780198749175,1445.3266045203993,1437.8973854851458,1435.5559544200348,1438.6482714187516,1442.1876990921671,1445.6745588627887,1451.6384281091582,1460.9123223138201,1468.700092613131,1470.578696369459,1469.2016718990728,1468.7420954722002,1467.7081511767756,1462.705500905858,1457.6599891871008,1456.0374718617097
395209,6,"Washington, DC",msa,VA,1734.483959285226,1719.2563499300354,1721.9748665480895,1729.1976959972044,1751.455011646786,1766.5080722067166,1779.1813372249553,1777.0386591556976,1785.4166515879417,1785.493059934999,1783.7450712046052,1773.8887726040125,1768.5276536911044,1761.5813742291089,1768.0935394598696,1782.0457801538248,1797.1664289954315,1807.302293522356,1814.7683900522982,1817.1843012149318,1814.542715623953,1800.6430890807765,1794.386549525713,1788.718664573573,1796.6247408603247,1811.4020981318952,1823.879390886879,1830.6409011505975,1833.4594988860697,1848.5768881888685,1856.5892783830482,1856.0691797976624,1845.364888132381,1839.930363568885,1826.3453210856876,1815.2896777375745,1810.9366386990287,1819.9010946887386,1838.354569514593,1854.4256643164376,1867.5570064172946,1879.4606602315089,1888.4266455129007,1895.721355943745,1889.3894891519851,1883.7839974845426,1880.8209658763083,1884.6504544790423,1888.0389928809038,1890.9014206787003,1897.3639158681908,1907.791114233499,1924.028380390546,1937.533254762998,1945.6623885636766,1943.6048971833989,1939.6015619477791,1928.0058139801636,1919.5109754278055,1920.8580642078027,1927.5593610165697,1935.3663365828181,1938.3544438735871,1931.0527705090853,1919.5628186874285,1906.4510196553167,1899.4508099081836,1889.4455224803742,1867.9327419187805,1844.979682638745,1816.933230277133,1806.6277104525764,1808.0794346624295,1822.2407753963412,1831.888442085659,1846.544179750133,1874.1578968320628,1915.4891492071388,1957.7676086599745,1992.2002219130843,2012.1598164838813,2020.5594240254825,2018.6250238454318,2016.6717872993843,2016.072072367898,2025.7579421921164,2042.4955521501422,2064.9126806896506,2091.546539937308,2119.21668129533,2147.2147704891304,2159.2107310121623,2156.942723459452,2135.2180191676057,2112.407062351511,2095.1676455461384,2095.914755116541,2108.919928827632,2133.7598915323897,2149.2141749576917,2165.9564824488325,2174.6989929020137,2190.007562076984,2198.0576991277753,2200.279757704426,2193.676832504612,2183.990390858156,2174.2412440441635,2178.486730549787,2194.973814288589,2217.8037865677106,2236.961629298086,2254.662316739775,2271.7098792368165,2285.724448529456,2289.9584492114186,2288.585929430068,2277.1185683331,2267.2142249713247,2258.491458131404,2268.340319832852
394974,7,"Philadelphia, PA",msa,PA,1246.9033140583758,1251.3002112417132,1265.6751282488435,1271.1638334661386,1278.669027996519,1283.3347603484326,1287.2516736196915,1287.2974126408021,1284.1705786331743,1280.8513764470601,1281.1482098109148,1273.1933999083242,1275.5195900260715,1282.885334687879,1296.305690623114,1305.8766350494575,1312.9460556304823,1320.769345792282,1320.613621494765,1318.3888305431644,1317.904179218108,1316.3866368147126,1319.0550300771656,1312.8487251154452,1315.5060881163736,1319.8613410769476,1333.9470045553383,1342.8690496046531,1349.2475086327192,1352.2043904945867,1352.4776264769125,1350.492165967739,1345.7794698053851,1342.338195792673,1339.9323148488215,1344.7308432580758,1350.9652239345962,1360.776985824129,1369.8668487985199,1378.0386047218747,1385.0987926606742,1390.3317025222277,1392.7926803701287,1392.8461779801398,1388.0147752182786,1386.9121561945926,1389.056926686611,1390.0779984339129,1395.1890455842924,1401.8916701135481,1418.4661108769913,1430.2546058282533,1436.8674720106535,1444.2594045991084,1448.1713237731594,1448.4657174097133,1443.3191901794364,1439.5810309762433,1438.6698598785395,1439.3223810629268,1441.4886718461191,1452.092133947312,1461.9714354087046,1464.5153911009636,1461.0462923156947,1458.7852429044087,1461.9257942305421,1459.4586690852705,1454.6669122684975,1450.841647637179,1447.9875649633293,1449.8386841131685,1452.6388425872747,1459.6883644400637,1469.7721249099193,1486.9115392529832,1511.6126304641557,1534.183634087055,1556.0203224381557,1573.8174949943298,1585.4497952621387,1592.9523521018502,1598.07185595698,1611.9903657274758,1620.3445514339285,1633.5523753334294,1642.8095815273884,1658.1463784829052,1672.34642037613,1687.5655013410735,1700.4086854131956,1705.242116424476,1703.3363522010443,1695.060849687205,1688.3608998011257,1683.6198684778049,1686.76644670667,1688.2876850521975,1698.9928338041357,1707.5618903292498,1720.5145730606773,1723.9082289043795,1731.4035070173609,1735.772298190381,1741.0051978961733,1736.7671445717174,1732.5769473699982,1729.4035446011123,1731.768140521032,1740.4877834513884,1750.8029426844703,1761.8147174475125,1769.5680147937758,1778.393924671542,1785.2395859507474,1790.1897038435081,1788.9252698144246,1787.7128035294813,1783.2385151232647,1784.1707292081844,1790.4134120034212
394856,8,"Miami, FL",msa,FL,1357.3235441916893,1370.1370378756912,1377.9231692528583,1385.1519727059706,1390.1687058477012,1392.0819531688228,1399.741898257171,1411.4054175621743,1426.0196819323169,1430.1321515513657,1434.314332773323,1430.7635659641066,1443.5382631816617,1450.7811720443283,1467.5469506230897,1475.5457545622849,1476.2302053335256,1472.7349951063818,1472.2587722334915,1476.3658126734726,1486.1328563247357,1484.9953191408301,1490.9266953887397,1488.3055681904514,1496.8059717227761,1500.8790977519254,1511.7896883846,1518.0517822642103,1520.8800644366415,1521.125595464004,1521.0629284371873,1524.3613430583703,1529.6797847977666,1535.6870539562583,1538.7555249112615,1541.4139255365542,1542.73410921672,1547.4456538419938,1550.8487582424973,1555.8839383997556,1560.1355682800677,1570.171508102936,1575.8023802550106,1579.0107908632824,1578.3230216074696,1587.4350693132797,1599.7438689931475,1606.0163618513293,1609.3566318016049,1607.159563210529,1609.9329029129162,1609.3147448448271,1616.5965708659967,1622.9139679761365,1629.4122974625834,1630.784472102879,1634.3851863185978,1642.2911937851616,1655.9257508579265,1668.359369195208,1675.168483576975,1677.7389783190752,1679.9229639649743,1672.4820557989026,1662.41143607182,1651.8610318615556,1651.4088479937702,1652.7961748485923,1653.9308891571725,1662.0498829228059,1671.9023045196564,1684.2055984501424,1700.18624781356,1720.6889710228388,1749.2668745929109,1776.8473220648023,1818.4025232591089,1867.6984487366665,1935.1421017992116,2000.410937325044,2056.678893917492,2099.9966598566457,2136.8546837073936,2176.3969542875416,2207.725484264173,2232.9854064616275,2262.6575405894864,2297.101563731985,2332.8967947653528,2357.124815728132,2374.3918954380383,2374.2164760398805,2377.0146591857683,2372.6270431006647,2378.830331358022,2383.967189283727,2388.264705110529,2399.5518061904063,2407.1726341878184,2416.1542089799773,2418.233941138179,2418.282523815251,2417.5683339508055,2417.565442485785,2416.525797674062,2421.302675018379,2422.3696886748544,2423.615889628779,2425.618870371029,2440.378984818197,2453.082851007039,2468.3954681051437,2472.692490154961,2478.2221177318324,2481.498081116089,2481.546809881693,2485.1198972055254,2483.5578545256426,2485.531039987193,2486.1469600590126,2489.643818489492
394347,9,"Atlanta, GA",msa,GA,997.4053028269418,1008.4673064637766,1007.9333194335156,1029.5225568944418,1035.1279729528903,1049.7272943398925,1052.9817659377218,1052.8811381748963,1050.1467789512117,1052.7789221228434,1071.457247629916,1081.156842256105,1086.7178859045598,1086.854550907832,1103.186191141809,1114.8600059885662,1127.072996964322,1133.511597064549,1143.560241048837,1147.3560563303135,1152.2623957177912,1157.3226614046823,1160.9790829950473,1160.5397454585789,1165.2683676193772,1175.6407036975047,1186.0078100797778,1200.7715378136086,1211.7145229733721,1221.7145380997208,1225.206666418206,1226.7728457258286,1233.5144157881507,1235.1703999324268,1233.8188850829058,1230.846203520688,1235.8501667888822,1246.8429826080585,1257.0099422209498,1267.7479447223852,1278.7337978885512,1288.2860263229463,1295.0826109666307,1300.3328260510386,1302.8933090858568,1312.0487679809933,1313.7669975182196,1315.3362309971126,1318.0949940733733,1327.0430897279036,1340.0244467220007,1347.4074648557169,1352.4041705595496,1359.6778240120293,1363.8469670903019,1368.9109555484267,1366.6703079038346,1363.7792932689201,1354.9254815314498,1353.4330905979139,1357.376060553612,1368.1409614318804,1370.6549609015487,1361.4931604449553,1351.0561461011125,1350.692347983513,1364.6850408932314,1375.435096065701,1380.2984585569002,1380.3915992522561,1382.182055915659,1386.6707572450787,1394.6694318003938,1406.9233142785245,1421.7419435756156,1444.1927171035138,1475.6726408846496,1519.8743308521953,1572.5508367712334,1624.697719166928,1662.8994064997012,1683.6764342498798,1688.5951288554386,1686.905980115534,1683.473909367604,1685.908314508748,1695.2733454470722,1706.1690912739887,1723.6955447045991,1744.2050044853731,1768.0557189663562,1776.2683372438319,1772.8959893824285,1752.7432143821823,1734.2790280921781,1717.0575134043977,1713.262017202163,1717.4917351640504,1730.0285681662638,1734.3977617470355,1737.2102653734105,1734.8869514039081,1734.7153086607134,1729.262931841143,1721.7045734870487,1709.7474005699805,1695.2375719897316,1680.1539873895815,1676.574807221961,1682.6622759024651,1690.073378602662,1696.7096168127416,1703.3318495307728,1706.639702565636,1705.9644780852168,1696.7754230926746,1696.043443661097,1685.9585409608944,1679.9002771641785,1669.0147641803935,1673.565855356979
